ablum,ablummid,end,id,name,singer,songmid,start,url
Maddie & Tae,003AdR2g3rMsvL,2015_43,9436394,Fly,Maddie & Tae,0011v2Xn1dhpOm,2015_30,https://y.qq.com/n/yqq/song/0011v2Xn1dhpOm.html
What a Time To Be Alive,002NHRnH1TDzTx,2015_43,104253992,Change Locations,Drake,003hgnHz4Whjou,2015_41,https://y.qq.com/n/yqq/song/003hgnHz4Whjou.html
"I like it when you sleep, for you are so beautiful yet so unaware of it",002VIlX84aV1a1,2015_43,104772797,Love Me,The 1975,001eAQ243q4WXE,2015_43,https://y.qq.com/n/yqq/song/001eAQ243q4WXE.html
Hit the Quan,002pEW5z4XEo60,2015_42,103783009,Hit the Quan,iLoveMemphis fka iHeartMemphis,001TcvdP4HN1x9,2015_35,https://y.qq.com/n/yqq/song/001TcvdP4HN1x9.html
American Beauty / American Psycho,004V4ERp3tRm8A,2015_42,102053598,Uma Thurman,Fall Out Boy,001ChHzT2kDtJF,2015_8,https://y.qq.com/n/yqq/song/001ChHzT2kDtJF.html
Planes,000bpeBM4QRS2v,2015_42,102638727,Planes (Explicit),Jeremih,002UmCxB3JnkH8,2015_24,https://y.qq.com/n/yqq/song/002UmCxB3JnkH8.html
Buy Me A Boat,003CTwRX2n5rB6,2015_42,102377916,Buy Me A Boat,Chris Janson,000Ak6jI4B3EIq,2015_24,https://y.qq.com/n/yqq/song/000Ak6jI4B3EIq.html
What a Time To Be Alive,002NHRnH1TDzTx,2015_42,104253990,Plastic Bag,Drake,004dblhc0iBXRY,2015_41,https://y.qq.com/n/yqq/song/004dblhc0iBXRY.html
What a Time To Be Alive,002NHRnH1TDzTx,2015_42,104253994,Jersey,Future,000XXzJn3PMwvS,2015_41,https://y.qq.com/n/yqq/song/000XXzJn3PMwvS.html
Cecilia And The Satellite (Toy Version),003I705d2ciEiE,2015_42,104312514,Cecilia And The Satellite (Toy Version),Andrew McMahon in the Wilderness,003rZGWR3XQP7X,2015_42,https://y.qq.com/n/yqq/song/003rZGWR3XQP7X.html
Ghost Town,003vmR3b3jOVUq,2015_42,102354633,Ghost Town,Adam Lambert,003d0oYD1hDpVT,2015_26,https://y.qq.com/n/yqq/song/003d0oYD1hDpVT.html
Hold Each Other,003DKYAF0q1Zec,2015_42,102944586,Hold Each Other,A Great Big World,004XiovT1vuTcD,2015_40,https://y.qq.com/n/yqq/song/004XiovT1vuTcD.html
The Outsiders,001r6Dqh0SizkD,2015_41,5182047,Like a Wrecking Ball,Eric Church,003YQX8t1gDdpx,2015_15,https://y.qq.com/n/yqq/song/003YQX8t1gDdpx.html
Made In the A.M. (Deluxe Edition),002VtAKV21LPJM,2015_41,104305611,Infinity,One Direction,004eLTmV4XnBWf,2015_40,https://y.qq.com/n/yqq/song/004eLTmV4XnBWf.html
Black Magic,000rEhnE39dIUk,2015_41,102448290,Black Magic,Little Mix,002KvdT00Xw03f,2015_34,https://y.qq.com/n/yqq/song/002KvdT00Xw03f.html
What a Time To Be Alive,002NHRnH1TDzTx,2015_41,104253995,30 for 30 Freestyle,Drake,001Nw3C92Oy4Le,2015_40,https://y.qq.com/n/yqq/song/001Nw3C92Oy4Le.html
Kick the Dust Up,003DX5tN26EQrS,2015_41,102655474,Kick the Dust Up,Luke Bryan,002LWoB32oobSZ,2015_38,https://y.qq.com/n/yqq/song/002LWoB32oobSZ.html
My Way (Remix),002ayWCO1LtfZI,2015_40,102861306,My Way (Remix),Fetty Wap,000NpIOf0c3egK,2015_28,https://y.qq.com/n/yqq/song/000NpIOf0c3egK.html
Magazines or Novels,002Ll0ce42kt7P,2015_40,7144714,"Honey, I'm Good.",Andy Grammer,003HS46f01vmRe,2015_8,https://y.qq.com/n/yqq/song/003HS46f01vmRe.html
Crash and Burn,003n48pU2BUWyg,2015_40,102362664,Crash and Burn,Thomas Rhett,002H84I01pZVjA,2015_22,https://y.qq.com/n/yqq/song/002H84I01pZVjA.html
Confident,0032JcIp1C8opr,2015_40,104235786,Confident,Demi Lovato,00165I8m3u3ZnL,2015_40,https://y.qq.com/n/yqq/song/00165I8m3u3ZnL.html
Runnin' (Lose It All),003GvAc721oCDI,2015_40,104242304,Runnin' (Lose It All),Naughty Boy,003GUxTO2sEfaO,2015_40,https://y.qq.com/n/yqq/song/003GUxTO2sEfaO.html
My House,000gFLs240RcrO,2015_40,102327195,"I Don't Like It, I Love It",Flo Rida,000zUeUG0E1XYX,2015_27,https://y.qq.com/n/yqq/song/000zUeUG0E1XYX.html
To Pimp A Butterfly,004KGfiD0oQdSP,2015_40,102208429,Alright (Explicit),Kendrick Lamar,001IHFGs2KqcmF,2015_13,https://y.qq.com/n/yqq/song/001IHFGs2KqcmF.html
Dreams Worth More Than Money,001S27P62CgCx7,2015_40,102812945,R.I.C.O.,Meek Mill,004YPB8H1q5vQO,2015_28,https://y.qq.com/n/yqq/song/004YPB8H1q5vQO.html
Post To Be,003ZU3wQ0yh6wF,2015_39,9483444,Post To Be (explicit),Omarion,004Rz0o50WAl7r,2015_10,https://y.qq.com/n/yqq/song/004Rz0o50WAl7r.html
Beauty Behind The Madness,002Wbs4v17XHzZ,2015_39,103876986,Tell Your Friends (Explicit),The Weeknd,002LHdgB3nFX4p,2015_37,https://y.qq.com/n/yqq/song/002LHdgB3nFX4p.html
Where It's At,003AEh4q45PVSk,2015_39,102668507,Hell of a Night,Dustin Lynch,001D7u492R7zx9,2015_24,https://y.qq.com/n/yqq/song/001D7u492R7zx9.html
She's Kinda Hot,002j7nZk43d0jR,2015_39,102943248,She's Kinda Hot,5 Seconds Of Summer,000nOWpF3YDFRV,2015_31,https://y.qq.com/n/yqq/song/000nOWpF3YDFRV.html
Sunshine & Whiskey,003XXWEN2Ml7ZK,2015_39,5176871,Young & Crazy,Frankie Ballard,002jdAfW4F8FfP,2015_24,https://y.qq.com/n/yqq/song/002jdAfW4F8FfP.html
Real Life,002x19SY0hiIYL,2015_39,102633026,Real Life,Jake Owen,002n4lwN0LBmoC,2015_27,https://y.qq.com/n/yqq/song/002n4lwN0LBmoC.html
Should’ve Been Us,000fH43p48lcBv,2015_39,102374401,Should’ve Been Us,Tori Kelly,004S3CVk3ohe49,2015_30,https://y.qq.com/n/yqq/song/004S3CVk3ohe49.html
Firestone,001fIXNk0MiCIr,2015_39,101134451,Firestone,Kygo,000acrGx44ZzWy,2015_39,https://y.qq.com/n/yqq/song/000acrGx44ZzWy.html
JEKYLL   HYDE,001Fv6Ya049QHC,2015_39,102382357,Loving You Easy,Zac Brown Band,000p8DCC2z0NcV,2015_24,https://y.qq.com/n/yqq/song/000p8DCC2z0NcV.html
Beauty Behind The Madness,002Wbs4v17XHzZ,2015_39,103876996,Prisoner (Explicit),The Weeknd,001DPKEL09eThN,2015_37,https://y.qq.com/n/yqq/song/001DPKEL09eThN.html
Beauty Behind The Madness,002Wbs4v17XHzZ,2015_39,103876995,Dark Times (Explicit),The Weeknd,002jRr3y3PZGFd,2015_37,https://y.qq.com/n/yqq/song/002jRr3y3PZGFd.html
Andrew McMahon In the Wilderness,004XKRTI38TSHR,2015_39,104110559,Cecilia and the Satellite,Andrew McMahon,002KP38R16kxB1,2015_36,https://y.qq.com/n/yqq/song/002KP38R16kxB1.html
Beautiful Now,001Pquv93KJu7p,2015_38,102418437,Beautiful Now,Zedd,001Y2zoo36u1bP,2015_22,https://y.qq.com/n/yqq/song/001Y2zoo36u1bP.html
Beauty Behind The Madness,002Wbs4v17XHzZ,2015_38,103876984,Real Life (Explicit),The Weeknd,0007Kavv3Olz6h,2015_37,https://y.qq.com/n/yqq/song/0007Kavv3Olz6h.html
Descendants（Original Motion Picture Soundtrack）,001Wkahc0LrbVH,2015_38,102954921,Rotten to the Core,Dove Cameron,00476Cji2DEHyl,2015_33,https://y.qq.com/n/yqq/song/00476Cji2DEHyl.html
Burn Slow,0044B8S84L6hsP,2015_38,104109129,Burn Slow (Explicit),Wiz Khalifa,0008vWAy00Np9d,2015_38,https://y.qq.com/n/yqq/song/0008vWAy00Np9d.html
Do It Again,000BoQz90xTy8P,2015_38,102412171,Do It Again (Explicit),Pia Mia,002QqgG01yNLdE,2015_28,https://y.qq.com/n/yqq/song/002QqgG01yNLdE.html
Dark Sky Paradise (Deluxe),001BPCOJ1n6f5u,2015_38,102176796,One Man Can Change The World (Explicit),Big Sean,000nz0K43Y4C1x,2015_10,https://y.qq.com/n/yqq/song/000nz0K43Y4C1x.html
Everything Is 4,003UmT6t3xd330,2015_38,102655640,Cheyenne,Jason Derulo,004Dd0c538Q4it,2015_32,https://y.qq.com/n/yqq/song/004Dd0c538Q4it.html
Omen,004b91Ww3HcYs6,2015_38,102956338,Omen,Disclosure,002BMAn32mQzM0,2015_33,https://y.qq.com/n/yqq/song/002BMAn32mQzM0.html
Beauty Behind The Madness,002Wbs4v17XHzZ,2015_38,103876991,Shameless (Explicit),The Weeknd,0000BkmN0ovsKb,2015_37,https://y.qq.com/n/yqq/song/0000BkmN0ovsKb.html
The Pinkprint (Deluxe),002n1DFJ0HwWBc,2015_38,101798382,The Night Is Still Young (Explicit),Nicki Minaj,001PnqiJ4cFSvc,2015_20,https://y.qq.com/n/yqq/song/001PnqiJ4cFSvc.html
Locked Away,003Wzu2E2M1vsC,2015_37,102792959,Locked Away,R. City,000YcEga2YWHyP,2015_31,https://y.qq.com/n/yqq/song/000YcEga2YWHyP.html
Skrillex and Diplo Present Jack ?,002sdp2I0CKDVC,2015_37,102176878,Where Are ? Now,Jack ?,004dykfN0ktaMd,2015_11,https://y.qq.com/n/yqq/song/004dykfN0ktaMd.html
Fight Song,001iSiol1uL9K3,2015_37,101791262,Fight Song,Rachel Platten,000lHTTx2rwbkl,2015_17,https://y.qq.com/n/yqq/song/000lHTTx2rwbkl.html
Uptown Special,000UMsCm3vPMeA,2015_37,9392556,Uptown Funk (explicit),Mark Ronson,002PLyi03FjMiA,2014_47,https://y.qq.com/n/yqq/song/002PLyi03FjMiA.html
Dreams Worth More Than Money,0009AMCZ2dORbN,2015_37,102791788,All Eyes On You (Explicit),Meek Mill,000G1p7015m2Hy,2015_27,https://y.qq.com/n/yqq/song/000G1p7015m2Hy.html
DS2 (Deluxe),004CHQF70WbXCB,2015_37,102916048,Where Ya At (Explicit),Drake,003NKEO21ZTipX,2015_31,https://y.qq.com/n/yqq/song/003NKEO21ZTipX.html
Kick the Dust Up,003DX5tN26EQrS,2015_37,102424820,Kick the Dust Up,Luke Bryan,004LXkUC2czlJ7,2015_22,https://y.qq.com/n/yqq/song/004LXkUC2czlJ7.html
Roots,000xt5mD0EUNuc,2015_37,103754027,Roots,Imagine Dragons,004A0ajy1yLwlH,2015_37,https://y.qq.com/n/yqq/song/004A0ajy1yLwlH.html
Beauty Behind The Madness,002Wbs4v17XHzZ,2015_37,103876985,Losers (Explicit),The Weeknd,004fD13b442beA,2015_37,https://y.qq.com/n/yqq/song/004fD13b442beA.html
Sounds Good Feels Good (Deluxe),003woa6B40S5n5,2015_37,103689919,Jet Black Heart,5 Seconds Of Summer,0017B5KR14SxgT,2015_37,https://y.qq.com/n/yqq/song/0017B5KR14SxgT.html
Classic Man,0047b6kb1r7Sus,2015_36,102416776,Classic Man (Explicit),Jidenna,000cAXss1jBQKP,2015_20,https://y.qq.com/n/yqq/song/000cAXss1jBQKP.html
Fifty Shades of Grey (Original Motion Picture Soundtrack),002FEJti42P2Dj,2015_36,101805293,Love Me Like You Do,Ellie Goulding,002bO03b3gtB7e,2015_3,https://y.qq.com/n/yqq/song/002bO03b3gtB7e.html
Nasty Freestyle,000p1zjW49ehUL,2015_36,102363066,Nasty Freestyle,Twayne,000ZbiwX0ApNEr,2015_17,https://y.qq.com/n/yqq/song/000ZbiwX0ApNEr.html
Get Santa,003Y0Pmt2WImjR,2015_36,101138254,Straight Outta Compton,N.W.A.,002tMFrx2SgMa7,2015_35,https://y.qq.com/n/yqq/song/002tMFrx2SgMa7.html
N.W.A. And Their Family Reunion,0038k1Kg1CNZFe,2015_36,3005464,Boyz-N-The-Hood (Explicit),Eazy-E,002NrQSF1zxB0h,2015_35,https://y.qq.com/n/yqq/song/002NrQSF1zxB0h.html
Full Speed,0017lbIg3M6oBb,2015_36,102057477,Be Real,Kid Ink,004BABfY34Ca3M,2015_17,https://y.qq.com/n/yqq/song/004BABfY34Ca3M.html
BRINGING BACK THE SUNSHINE,0027T1Ji2FhI7B,2015_36,9058576,Sangria,Blake Shelton,003NxIis1H3mLF,2015_17,https://y.qq.com/n/yqq/song/003NxIis1H3mLF.html
Kiss You In The Morning,000OjweY2ZYWkO,2015_36,102350788,Kiss You In The Morning,Michael Ray,002SWI531uf19G,2015_24,https://y.qq.com/n/yqq/song/002SWI531uf19G.html
Just As I Am,003sTGPx0JjU3V,2015_36,5630268,One Hell Of An Amen,Brantley Gilbert,002dASrw4eePdX,2015_19,https://y.qq.com/n/yqq/song/002dASrw4eePdX.html
Honeymoon,000WBcXU2Rrlbp,2015_36,103359244,High By The Beach,Lana Del Rey,0032OuJH1QacfI,2015_34,https://y.qq.com/n/yqq/song/0032OuJH1QacfI.html
About You,004ApPo01sQnLh,2015_36,102447079,About You,Trey Songz,003OcQF834pkAq,2015_36,https://y.qq.com/n/yqq/song/003OcQF834pkAq.html
Wild Ones (Deluxe),001JTzPc3Pky0d,2015_36,103263227,I'm To Blame,Kip Moore,002xchIj2v4fXY,2015_36,https://y.qq.com/n/yqq/song/002xchIj2v4fXY.html
B**ch Better Have My Money,00044cTk11Woja,2015_35,102297966,B**ch Better Have My Money (Explicit),Rihanna,001qfZWs2hx0SQ,2015_14,https://y.qq.com/n/yqq/song/001qfZWs2hx0SQ.html
Queen of the Clouds (Deluxe),000JY4nF4ctw1y,2015_35,101138381,Talking Body (Explicit),Tove Lo,002qqGK81QkbBh,2015_6,https://y.qq.com/n/yqq/song/002qqGK81QkbBh.html
2014 Forest Hills Drive,001ED1Ya1Mv6Lr,2015_35,101508362,Wet Dreamz,J. Cole,003JmrxU08jks7,2014_51,https://y.qq.com/n/yqq/song/003JmrxU08jks7.html
"Old Boots, New Dirt",0021ZifZ272CVJ,2015_35,102172572,Tonight Looks Good on You,Jason Aldean,002jHAVg0FGl4t,2015_19,https://y.qq.com/n/yqq/song/002jHAVg0FGl4t.html
Fun,003g5sJZ3Cgr4M,2015_35,102415112,Fun,Pitbull,000bP3Mi43MHWu,2015_21,https://y.qq.com/n/yqq/song/000bP3Mi43MHWu.html
How Many Times,000tJ9SO2q9XxQ,2015_35,102392002,How Many Times,Lil Wayne,000fBkys00tQpo,2015_21,https://y.qq.com/n/yqq/song/000fBkys00tQpo.html
Sounds Good Feels Good (Deluxe),003woa6B40S5n5,2015_35,103175944,Fly Away,5 Seconds Of Summer,000mtz2L3ONmxs,2015_35,https://y.qq.com/n/yqq/song/000mtz2L3ONmxs.html
You Know You Like It,004BBmXY0mAKUt,2015_34,101142907,You Know You Like It,DJ Snake,003t3GCM36KHhc,2015_14,https://y.qq.com/n/yqq/song/003t3GCM36KHhc.html
Descendants（Original Motion Picture Soundtrack）,001Wkahc0LrbVH,2015_34,102954924,If Only,Dove Cameron,003W7TjA1RNmfO,2015_33,https://y.qq.com/n/yqq/song/003W7TjA1RNmfO.html
Monster,004Z6Iwv1y5uC5,2015_34,101817735,F**k Up Some Commas,Future,0035I4oJ1jgmKH,2015_15,https://y.qq.com/n/yqq/song/0035I4oJ1jgmKH.html
GO:OD AM,0018Onnj49qmfV,2015_34,103193186,100 Grandkids (Explicit),Mac Miller,002a0V4M0YcbKB,2015_34,https://y.qq.com/n/yqq/song/002a0V4M0YcbKB.html
Montevallo,001JLGuf2N6clN,2015_33,101789619,Take Your Time,Sam Hunt,0025AVAh2Hj2Po,2015_2,https://y.qq.com/n/yqq/song/0025AVAh2Hj2Po.html
Slow Motion,000nCGpJ4Z6zRc,2015_33,101815962,Slow Motion,Trey Songz,000UgpZl1esC4x,2015_5,https://y.qq.com/n/yqq/song/000UgpZl1esC4x.html
Charged Up,001LQYzb2JSTCV,2015_33,102990092,Charged Up (Explicit),Drake,002uiSiV4VcTkv,2015_33,https://y.qq.com/n/yqq/song/002uiSiV4VcTkv.html
Love You Like That,004IFTUU0GtR5x,2015_33,102325682,Love You Like That,Canaan Smith,0000dXHZ1z3XBN,2015_14,https://y.qq.com/n/yqq/song/0000dXHZ1z3XBN.html
This Summer's Gonna Hurt Like a Motherf**ker,001hPqOw4VmfuT,2015_33,102419808,This Summer's Gonna Hurt Like a Motherf**ker,Maroon 5,0040THk01aQitu,2015_21,https://y.qq.com/n/yqq/song/0040THk01aQitu.html
Crushin' It,003LHure0hy1hO,2015_33,7189410,Crushin' It,Brad Paisley,003MPa2I0aSKoY,2015_19,https://y.qq.com/n/yqq/song/003MPa2I0aSKoY.html
The Matrimony,002UhOKF0eQOGo,2015_33,102179038,The Matrimony,Wale,001D8TTy3tYXVJ,2015_15,https://y.qq.com/n/yqq/song/001D8TTy3tYXVJ.html
Good Thing,002V6HVN4HvP92,2015_33,102420491,Good Thing (Explicit),Sage the Gemini,000MAAcD4QGwc1,2015_26,https://y.qq.com/n/yqq/song/000MAAcD4QGwc1.html
Listen (Deluxe Version),004B5e301N8mrM,2015_32,100516295,Hey Mama,David Guetta,002tz8CC1SFib6,2015_14,https://y.qq.com/n/yqq/song/002tz8CC1SFib6.html
Pain Killer,002yO77b2x8mOC,2015_32,9059582,Girl Crush,Little Big Town,0008unoP1xOv8d,2015_7,https://y.qq.com/n/yqq/song/0008unoP1xOv8d.html
Elastic Heart (From “The Hunger Games: Catching Fire” Soundtrack),000iJ04r0w4imM,2015_32,7157641,Elastic Heart,Sia,002AfHXA4FMGPT,2015_3,https://y.qq.com/n/yqq/song/002AfHXA4FMGPT.html
1989 (Deluxe),002Kz5Jo1uzHjz,2015_32,9109358,Shake It Off,Taylor Swift,003RiLIq2dKuK4,2014_48,https://y.qq.com/n/yqq/song/003RiLIq2dKuK4.html
No Sleeep,0038gnku2kyVed,2015_32,102695964,No Sleeep,Janet Jackson,0022PpNi3PJrBF,2015_27,https://y.qq.com/n/yqq/song/0022PpNi3PJrBF.html
Young Blood,000jj9YQ4Yuvmj,2015_32,102422015,Young Blood,Bea Miller,004N0Hld0FNgfB,2015_32,https://y.qq.com/n/yqq/song/004N0Hld0FNgfB.html
Kelsea Ballerini,002K6doy2BDc70,2015_32,102297045,Love Me Like You Mean It,Kelsea Ballerini,000W1hjY4QLiXb,2015_15,https://y.qq.com/n/yqq/song/000W1hjY4QLiXb.html
Talking Dreams (Deluxe Version),000qTUpW0ED8Pn,2015_32,5222761,Bright,Echosmith,000Z44uZ0KPDNL,2015_12,https://y.qq.com/n/yqq/song/000Z44uZ0KPDNL.html
Kings Never Die,004D3RiP3340uj,2015_32,102943536,Kings Never Die (Explicit),Eminem,002IgXz43YgTGR,2015_30,https://y.qq.com/n/yqq/song/002IgXz43YgTGR.html
Yoga,002Xpfaw04XQvK,2015_32,102376685,Yoga,Janelle Monáe,000SnX0j0h6pFZ,2015_27,https://y.qq.com/n/yqq/song/000SnX0j0h6pFZ.html
Back It Up,0009xnv047poFt,2015_32,102384127,Back It Up,Prince Royce,0027X1nB0OTGur,2015_25,https://y.qq.com/n/yqq/song/0027X1nB0OTGur.html
In The Lonely Hour,0008Rzct2bJKvJ,2015_32,9058828,Like I Can,Sam Smith,0033Bpvf2kTKXx,2015_27,https://y.qq.com/n/yqq/song/0033Bpvf2kTKXx.html
Baby Be My Love Song,004ciXGF36x54T,2015_31,102336100,Baby Be My Love Song,Easton Corbin,002SOMJI2EHpTy,2015_16,https://y.qq.com/n/yqq/song/002SOMJI2EHpTy.html
Sippin' On Fire,00413z5r29hQ4f,2015_31,9077394,Sippin’ On Fire,Florida Georgia Line,003AjOAG0w4kgW,2015_13,https://y.qq.com/n/yqq/song/003AjOAG0w4kgW.html
DS2 (Deluxe),004CHQF70WbXCB,2015_31,102875948,Blow a Bag,Future,0045GMHA1KImUB,2015_31,https://y.qq.com/n/yqq/song/0045GMHA1KImUB.html
Blurryface,002TEVez1YAqVW,2015_31,102428037,Tear In My Heart,Twenty One Pilots,001yhhrE1OhXFu,2015_25,https://y.qq.com/n/yqq/song/001yhhrE1OhXFu.html
Jackie (Deluxe),0036uGER1z6SBp,2015_31,102385166,Dance Like We're Making Love,Ciara,0003Ales20HkSY,2015_31,https://y.qq.com/n/yqq/song/0003Ales20HkSY.html
Somebody,002v6B281MDmwW,2015_30,102051870,Somebody,Natalie La Rose,0003UO7D1z3NkX,2015_5,https://y.qq.com/n/yqq/song/0003UO7D1z3NkX.html
1989 (Deluxe),002Kz5Jo1uzHjz,2015_30,9109355,Style,Taylor Swift,000tvYrm06WW4O,2014_51,https://y.qq.com/n/yqq/song/000tvYrm06WW4O.html
Don't It,004Ofgi02sv6G1,2015_30,102198824,Don't It,Billy Currington,000RjTVd2FZUHR,2015_11,https://y.qq.com/n/yqq/song/000RjTVd2FZUHR.html
Greatest Hits: Decade #1,004KYAAv42O9L8,2015_30,102053790,Little Toy Guns,Carrie Underwood,003jlRbE1WqtFI,2015_12,https://y.qq.com/n/yqq/song/003jlRbE1WqtFI.html
I Really Like You,002nmUta3pB2yR,2015_30,102180318,I Really Like You,Carly Rae Jepsen,0037tdR42hYhcm,2015_11,https://y.qq.com/n/yqq/song/0037tdR42hYhcm.html
Dreams Worth More Than Money,001S27P62CgCx7,2015_30,102812935,Lord Knows,Meek Mill,004dAZlu2uJuuH,2015_29,https://y.qq.com/n/yqq/song/004dAZlu2uJuuH.html
Dreams Worth More Than Money,001S27P62CgCx7,2015_30,102812942,Jump Out The Face,Meek Mill,000Lj2Td2gAtDI,2015_29,https://y.qq.com/n/yqq/song/000Lj2Td2gAtDI.html
Special Effects (Deluxe Version),000dWGML1dkvQi,2015_30,102354171,Hood Go Crazy (Explicit),Tech N9ne,000OK7NL0ONQtt,2015_24,https://y.qq.com/n/yqq/song/000OK7NL0ONQtt.html
Short Movie,0009pPEg1aqBp4,2015_29,102181069,I Feel Your Love,Laura Marling,002AYRnu02P7Ue,2015_10,https://y.qq.com/n/yqq/song/002AYRnu02P7Ue.html
GDFR,001ol0l227ykLA,2015_29,7421381,GDFR,Flo Rida,000Xta9O1utBcQ,2014_44,https://y.qq.com/n/yqq/song/000Xta9O1utBcQ.html
Love Is Your Name,002LOISp0D7vqK,2015_29,102415199,Love Is Your Name,Steven Tyler,001ZYNul1JE4Qo,2015_29,https://y.qq.com/n/yqq/song/001ZYNul1JE4Qo.html
Dreams Worth More Than Money,001S27P62CgCx7,2015_29,102812938,Bad For You,Meek Mill,003t9ctg40DjIb,2015_28,https://y.qq.com/n/yqq/song/003t9ctg40DjIb.html
Sundown Heaven Town,001EShmn0UX4vH,2015_29,7406971,Diamond Rings And Old Barstools,Tim Mcgraw,000w3iSO3OZNNT,2015_12,https://y.qq.com/n/yqq/song/000w3iSO3OZNNT.html
Southernality,003tQfaL4O6tAe,2015_29,102685013,Smoke,A Thousand Horses,004egD4B2dXU09,2015_25,https://y.qq.com/n/yqq/song/004egD4B2dXU09.html
Rivers In the Wasteland,002f4FVT4Tsvnk,2015_29,5460112,Brother,NEEDTOBREATHE,00131mzG0xprNt,2015_28,https://y.qq.com/n/yqq/song/00131mzG0xprNt.html
Wanted On Voyage (Deluxe),003CyxHn1KM9yU,2015_28,9068634,Budapest,George Ezra,001rT9Dv2mK7P8,2015_6,https://y.qq.com/n/yqq/song/001rT9Dv2mK7P8.html
1989 (Deluxe),002Kz5Jo1uzHjz,2015_28,9109354,Blank Space,Taylor Swift,003VHaBb0wCHop,2014_48,https://y.qq.com/n/yqq/song/003VHaBb0wCHop.html
Wildheart (Deluxe),003GDnMm1eKGzl,2015_28,102792734,Coffee (Explicit),Miguel,002cmAcY2dCUsa,2015_28,https://y.qq.com/n/yqq/song/002cmAcY2dCUsa.html
If You're Reading This It's Too Late,001UZsyi2Lw9k5,2015_28,102171047,Know Yourself (Explicit),Drake,000uQrnu0lb0xG,2015_9,https://y.qq.com/n/yqq/song/000uQrnu0lb0xG.html
Flashlight,0024rGGg4DQAs2,2015_28,102360894,Flashlight,Jessie J,0026AouN18Rko2,2015_22,https://y.qq.com/n/yqq/song/0026AouN18Rko2.html
Title,001Q0yvR4auD8m,2015_27,7254711,Dear Future Husband,Meghan Trainor,004Ih2Ea2TsdCy,2014_38,https://y.qq.com/n/yqq/song/004Ih2Ea2TsdCy.html
My Everything (Deluxe),004SDGTv1GJwte,2015_27,8160373,One Last Time,Ariana Grande,000p10ho2RvZaM,2015_8,https://y.qq.com/n/yqq/song/000p10ho2RvZaM.html
The Big Revival,001JjT814PFvBg,2015_27,9058917,Wild Child,Kenny Chesney,002clm9L2wWEIN,2015_12,https://y.qq.com/n/yqq/song/002clm9L2wWEIN.html
If You're Reading This It's Too Late,001UZsyi2Lw9k5,2015_27,102171045,Energy (Explicit),Drake,001MM8Eq3okYvQ,2015_8,https://y.qq.com/n/yqq/song/001MM8Eq3okYvQ.html
I Need Your Love (Te Quiero Mas),002PrEse0wMexO,2015_27,102218784,I Need Your Love (Te Quiero Mas),Shaggy,0004dhSc35igcV,2015_20,https://y.qq.com/n/yqq/song/0004dhSc35igcV.html
Rebel Heart,002Dy0GZ2KTdjH,2015_27,102209227,B**ch I'm Madonna (Explicit),Madonna,003nkxgB2FV1SV,2015_26,https://y.qq.com/n/yqq/song/003nkxgB2FV1SV.html
Pretty Girls,003f1YvG0HChrB,2015_27,102379814,Pretty Girls,Britney Spears,001dZPlI0m8Z6C,2015_20,https://y.qq.com/n/yqq/song/001dZPlI0m8Z6C.html
Barter 6,0038qSZq3Uy7qU,2015_27,102353543,Check,Young Thug,001dSs9F2Rq9FH,2015_27,https://y.qq.com/n/yqq/song/001dSs9F2Rq9FH.html
Cheerleader(Remixes),000U0HI61iZ0TZ,2015_26,5367025,Cheerleader (Remix),Omi,001BF3BH1JQMtT,2015_18,https://y.qq.com/n/yqq/song/001BF3BH1JQMtT.html
Dark Sky Paradise (Deluxe),001BPCOJ1n6f5u,2015_26,102176787,Blessings (Explicit),Big Sean,001PO0IF3Lqxdm,2015_10,https://y.qq.com/n/yqq/song/001PO0IF3Lqxdm.html
Lay Me Down,000iYryu2K18DO,2015_26,4757400,Lay Me Down (Acoustic),Sam Smith,0025Si4m0YmJfm,2015_10,https://y.qq.com/n/yqq/song/0025Si4m0YmJfm.html
Sparks,003S8NI43cLYdn,2015_26,102327052,Sparks,Hilary Duff,001Z4DWf0uAvgc,2015_26,https://y.qq.com/n/yqq/song/001Z4DWf0uAvgc.html
Wilder Mind,001vOXFu45cVbj,2015_26,102194525,Believe,Mumford & Sons,0047H2ch3zTjCe,2015_12,https://y.qq.com/n/yqq/song/0047H2ch3zTjCe.html
Coffee (F***ing),002nmPK31DXZQD,2015_26,102377765,Coffee (F***ing) (Radio Edit),Miguel,0008VQ4547yT67,2015_20,https://y.qq.com/n/yqq/song/0008VQ4547yT67.html
Luca Brasi 2: Gangsta Grillz,002WG5LB1GIqwS,2015_26,9483194,I Don't Get Tired (#IDGT) (explicit),Kevin Gates,001jA1Cr0KBmUC,2015_18,https://y.qq.com/n/yqq/song/001jA1Cr0KBmUC.html
Flicka Da Wrist,003m8LE22kqPtM,2015_26,102387469,Flicka Da Wrist (Explicit),Chedda Da Connect,004dp8jb3687d9,2015_19,https://y.qq.com/n/yqq/song/004dp8jb3687d9.html
Nasty,001vgm4d2V5HgH,2015_26,102376985,Nasty (Explicit),Bandit Gang Marco,003ut4vK3cgI6A,2015_18,https://y.qq.com/n/yqq/song/003ut4vK3cgI6A.html
Globalization,001qPEQT49dJky,2015_25,9482236,Time Of Our Lives,Pitbull,001vKHQW0LY3HE,2014_49,https://y.qq.com/n/yqq/song/001vKHQW0LY3HE.html
